Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
TMUS,53.308917157294125,98.5199966430664,85.98,82.94,81.85,73.04000091552734,100.48999786376953
PETS,53.26627813774669,37.02000045776367,30.42,25.97,23.57,14.453412055969238,40.959999084472656
BIIB,53.237501632955684,314.0199890136719,306.26,295.4,279.52,217.44000244140625,342.54998779296875
BL,53.204662568802654,63.970001220703125,55.87,54.8,53.55,42.380001068115234,68.73999786376953
LAND,53.193037146259705,14.369999885559082,12.32,12.48,12.2,9.582197189331055,14.369999885559082
NLOK,53.11680384008337,21.280000686645508,19.16,16.62,15.77,10.199896812438965,21.530000686645508
CCXI,53.112413613363046,54.38999938964844,45.17,33.64,27.01,6.46999979019165,54.540000915527344
NTES,53.078079922371565,359.7699890136719,327.39,314.55,297.71,205.33023071289062,362.2099914550781
UMC,53.07314501741521,2.569999933242798,2.39,2.47,2.38,1.8034987449645996,2.809999942779541
ZNGA,53.03851444427771,7.769999980926514,6.98,6.56,6.4,5.550000190734863,7.949999809265137
TW,53.02511842990503,58.18000030517578,47.98,45.7,44.9,36.220001220703125,58.18000030517578
CLW,52.99780160233451,29.0,22.17,22.01,20.93,13.5,29.670000076293945
SNDX,52.91883089349618,18.030000686645508,11.62,9.23,9.17,5.429999828338623,19.5
WERN,52.91702307485667,41.9900016784668,36.31,36.7,35.72,27.592708587646484,41.9900016784668
RDY,52.904084773350235,52.36000061035156,44.53,42.16,40.86,34.75,52.84000015258789
KR,52.90324274740089,33.34000015258789,31.53,28.6,27.36,20.438608169555664,34.18000030517578
CNST,52.8565440376554,49.220001220703125,33.6,33.02,26.71,6.429999828338623,49.29999923706055
TBPH,52.787125391485645,28.079999923706055,25.06,23.04,22.55,15.600000381469727,31.209999084472656
AMZN,52.75558893520567,2379.610107421875,2077.91,1926.37,1895.83,1676.6099853515625,2474.0
ITMR,52.71466421920186,14.920000076293945,12.66,12.15,11.44,7.949999809265137,17.540000915527344
OCUL,52.69665179882708,5.96999979019165,5.36,4.45,4.4,2.4600000381469727,7.400000095367432
ZM,52.662754129478536,155.39999389648438,134.29,94.37,92.79,62.0,169.08999633789062
CDNS,52.65918014807199,82.45999908447266,69.61,69.66,69.4,54.31999969482422,82.45999908447266
VNET,52.63326492757547,17.0,14.53,10.88,10.08,6.409999847412109,17.100000381469727
TEAM,52.62142833794762,176.19000244140625,143.37,134.19,134.49,107.75,179.77999877929688
CHGG,52.54218002506998,63.130001068115234,38.79,37.94,37.94,27.709999084472656,63.130001068115234
CIEN,52.52593750805068,47.959999084472656,42.25,40.62,40.75,33.18000030517578,48.91999816894531
DLR,52.51532743801341,145.05999755859375,137.84,127.57,125.69,107.9000015258789,154.22999572753906
NERV,52.457922212282945,11.489999771118164,7.02,6.73,6.84,4.079999923706055,11.489999771118164
ABBV,52.39805383580384,83.95999908447266,79.29,82.1,77.67,59.47037124633789,96.35298919677734
IMMU,52.3858111306498,32.61000061035156,18.93,18.47,17.52,9.399999618530273,32.61000061035156
AUPH,52.33970973060712,17.399999618530273,15.27,13.97,11.95,3.880000114440918,21.459999084472656
ATEX,52.32617260876591,50.0,45.57,44.09,43.2,32.220001220703125,53.849998474121094
ARDX,52.29311544112928,7.380000114440918,6.29,6.51,5.85,2.1500000953674316,8.789999961853027
HAIN,52.27815131833206,29.729999542236328,25.34,24.88,23.87,18.18000030517578,29.729999542236328
CENTA,52.25428868041148,32.75,27.53,28.18,27.33,20.709999084472656,32.75
KWEB,52.210987967780284,49.900001525878906,46.45,47.51,46.12,38.258304595947266,54.58000183105469
THMO,52.19009317468347,10.40999984741211,5.26,4.69,4.49,1.7200000286102295,12.210000038146973
RCUS,52.17346219679087,30.079999923706055,19.36,12.79,11.58,6.440000057220459,30.079999923706055
DPZ,52.14985692854216,369.1099853515625,343.09,303.81,287.63,220.8592987060547,383.75
VEEV,52.133997689890535,192.33999633789062,160.6,152.05,153.17,120.93000030517578,192.9600067138672
BTAI,52.119219041062344,40.40999984741211,26.87,17.06,15.13,4.050000190734863,41.13999938964844
REGI,52.11812889433026,24.600000381469727,22.52,22.01,19.82,10.710000038146973,30.860000610351562
TRIL,52.06104106440745,6.0,4.58,2.55,1.99,0.24699999392032623,7.21999979019165
CENT,52.03168243160746,35.16999816894531,29.59,30.01,29.21,22.600000381469727,35.16999816894531
MOH,52.01992821460002,175.5500030517578,147.0,135.96,133.1,107.47000122070312,183.10000610351562
UTHR,52.00220679270994,113.43000030517578,98.54,93.99,90.82,74.8499984741211,115.3499984741211
SLGN,51.984690466804075,33.779998779296875,30.53,30.65,30.39,25.31999969482422,35.40999984741211
ACMR,51.96546065582182,46.65999984741211,32.11,25.82,23.14,12.59000015258789,48.540000915527344
